depth_m,age_gasBP,CH4
108.3299,336.0678,688.03188
108.33056,336.0961,687.29156
108.33122,336.1244,690.64479
108.33188,336.1527,688.90191
108.33253,336.181,687.31147
108.33319,336.2092,688.94738
108.33385,336.2375,690.48169
108.33451,336.2658,690.32357
108.33516,336.2941,692.38371
108.33582,336.3224,690.16502
108.33648,336.3507,690.99747
108.33714,336.379,691.6867
108.33779,336.4073,693.21826
108.33845,336.4356,692.80338
108.33911,336.4639,691.69973
108.33977,336.4922,692.92533
108.34043,336.5204,696.46935
108.34108,336.5487,694.96015
108.34174,336.577,695.42852
108.3424,336.6053,697.70606
108.34306,336.6336,697.6151
108.34371,336.6619,697.71536
108.34437,336.6902,695.51987
108.34503,336.7185,697.12947
108.34569,336.7468,693.96808
108.34634,336.7751,696.81392
108.347,336.8034,695.37124
108.34766,336.8316,694.4657
108.34832,336.8599,693.07725
108.34898,336.8882,693.52616
108.34963,336.9165,692.67929
108.35029,336.9448,690.49102
108.35095,336.9731,690.85614
108.35161,337.0014,690.89018
108.35226,337.0297,691.60928
108.35292,337.058,689.97709
108.35358,337.0863,693.19606
108.35424,337.1146,688.1739
108.35489,337.1428,687.96117
108.35555,337.1711,689.24356
108.35621,337.1994,687.80763
108.35687,337.2277,688.76791
108.35753,337.256,689.11253
108.35818,337.2843,690.65059
108.35884,337.3126,688.26557
108.3595,337.3409,689.59157
108.36016,337.3692,690.11778
108.36081,337.3975,689.0999
108.36147,337.4258,689.60843
108.36213,337.454,689.407
108.36279,337.4823,691.1406
108.36344,337.5106,692.36082
108.3641,337.5389,689.32222
108.36476,337.5672,691.95978
108.36542,337.5955,689.58397
108.36608,337.6238,690.51611
108.36673,337.6521,690.34749
108.36739,337.6804,690.92708
108.36805,337.7087,687.69763
108.36871,337.737,686.84099
108.36936,337.7652,686.06744
108.37002,337.7935,685.8186
108.37068,337.8218,685.04917
108.37331,337.935,685.57785
108.44829,341.1602,696.60667
108.44894,341.1885,695.18492
108.4496,341.2167,697.71169
108.45026,341.245,695.92066
108.45092,341.2733,697.45916
108.45158,341.3016,695.76456
108.45223,341.3299,694.66887
108.45289,341.3582,696.45069
108.45355,341.3865,695.02975
108.45421,341.4148,692.73297
108.45486,341.4431,694.33351
108.45552,341.4714,695.07758
108.45618,341.4997,695.03284
108.45684,341.5279,694.54929
108.45749,341.5562,696.68968
108.45815,341.5845,695.34798
108.45881,341.6128,696.78078
108.45947,341.6411,696.83485
108.46013,341.6694,696.17142
108.46078,341.6977,695.61985
108.46144,341.726,694.0256
108.4621,341.7543,696.08704
108.46276,341.7826,697.50186
108.46341,341.8109,694.32527
108.46407,341.8391,694.21255
108.46473,341.8674,693.00133
108.46539,341.8957,692.18986
108.46604,341.924,693.66174
108.4667,341.9523,693.24496
108.46736,341.9806,690.13189
108.46802,342.0089,692.35179
108.46868,342.0372,693.12646
108.46933,342.0655,692.46204
108.46999,342.0938,693.26535
108.47065,342.1221,692.20099
108.47131,342.1503,693.05856
108.47196,342.1786,691.08997
108.47262,342.2069,692.28923
108.47328,342.2352,693.45925
108.47394,342.2635,694.09558
108.47459,342.2918,693.33611
108.47525,342.3201,692.72948
108.47591,342.3484,692.71776
108.47657,342.3767,691.7439
108.47723,342.405,686.48006
108.47788,342.4333,692.44783
108.47854,342.4615,690.90502
108.4792,342.4898,691.76106
108.47986,342.5181,692.70155
108.48051,342.5464,691.61081
108.48117,342.5747,692.06267
108.48183,342.603,693.26946
108.48249,342.6313,693.15781
108.48314,342.6596,693.46895
108.4838,342.6879,694.98811
108.48446,342.7162,693.27535
108.48512,342.7445,690.84456
108.48578,342.7727,695.20757
108.48643,342.801,694.80079
108.48709,342.8293,692.79481
108.48775,342.8576,693.44708
108.48841,342.8859,691.64116
108.48906,342.9142,695.78291
108.48972,342.9425,697.01851
108.49038,342.9708,691.46915
108.49104,342.9991,694.67033
108.49169,343.0274,693.61944
108.49235,343.0557,695.15921
108.68045,351.1469,692.49467
108.68111,351.1752,691.72631
108.68177,351.2035,691.96555
108.68242,351.2317,694.27109
108.68308,351.26,694.69292
108.68374,351.2883,694.04791
108.6844,351.3166,693.09678
108.68506,351.3449,694.94459
108.68571,351.3732,697.2934
108.68637,351.4015,700.37535
108.68703,351.4298,698.22469
108.68769,351.4581,698.08463
108.68834,351.4864,697.11488
108.689,351.5147,697.89522
108.68966,351.543,696.06499
108.69032,351.5712,696.65429
108.69097,351.5995,696.25774
108.69163,351.6278,697.08079
108.69229,351.6561,696.72926
108.69295,351.6844,696.46707
108.69361,351.7127,696.07542
108.69426,351.741,698.03506
108.69492,351.7693,699.40508
108.69558,351.7976,699.29978
108.69624,351.8259,699.4946
108.69689,351.8542,699.00868
108.69755,351.8824,699.95688
108.69821,351.9107,702.12056
108.69887,351.939,701.71217
108.69952,351.9673,701.86433
108.70084,352.0239,703.1808
108.7015,352.0522,703.25561
108.7107,352.4483,703.12858
108.71136,352.4766,703.41599
108.71202,352.5048,703.10893
108.71334,352.5614,702.63856
108.71399,352.5897,701.60583
108.71465,352.618,701.74491
108.71531,352.6463,700.24891
108.71597,352.6746,698.09279
108.71662,352.7029,695.50833
108.71728,352.7312,697.02212
108.71794,352.7595,697.67657
108.7186,352.7878,699.86439
108.71925,352.816,698.74416
108.71991,352.8443,702.00044
108.72057,352.8726,701.53657
108.72123,352.9009,701.52869
108.72189,352.9292,701.75174
108.72254,352.9575,702.31046
108.72386,353.0141,701.18954
108.72452,353.0424,702.14329
108.72517,353.0707,702.19098
108.72649,353.1272,702.84981
108.7278,353.1838,703.36742
108.75148,354.2023,698.04923
108.75214,354.2306,697.34119
108.7528,354.2589,697.81806
108.75345,354.2872,698.89248
108.75411,354.3155,697.6052
108.75477,354.3438,696.91997
108.75543,354.372,698.02209
108.75609,354.4003,697.36796
108.75674,354.4286,697.51588
108.7574,354.4569,694.64436
108.75806,354.4852,695.02101
108.75872,354.5135,694.99858
108.75937,354.5418,694.22411
108.76003,354.5701,693.19139
108.76069,354.5984,693.56101
108.76135,354.6267,692.23916
108.762,354.655,694.79551
108.76266,354.6832,694.40173
108.76332,354.7115,693.08477
108.76398,354.7398,693.275
108.76464,354.7681,694.05324
108.76529,354.7964,692.9087
108.76595,354.8247,692.51938
108.76661,354.853,691.41906
108.76727,354.8813,694.04752
108.76792,354.9096,693.53604
108.76858,354.9379,693.40048
108.76924,354.9662,692.01739
108.7699,354.9944,694.21686
108.77055,355.0227,694.73508
108.77121,355.051,695.50532
108.77187,355.0793,693.88767
108.77253,355.1076,695.75058
108.77319,355.1359,693.37382
108.77384,355.1642,693.25367
108.7745,355.1925,690.99949
108.77516,355.2208,691.25162
108.77582,355.2491,692.42701
108.77647,355.2774,693.23666
108.77713,355.3056,690.49666
108.77779,355.3339,689.36772
108.77845,355.3622,688.17226
108.7791,355.3905,688.69769
108.77976,355.4188,687.41752
108.78042,355.4471,686.89324
108.78108,355.4754,687.49285
108.78174,355.5037,686.64421
108.78239,355.532,686.86546
108.78305,355.5603,684.89116
108.78371,355.5886,687.31196
108.78437,355.6169,685.78787
108.78502,355.6451,685.68512
108.78568,355.6734,685.23303
108.78634,355.7017,686.14701
108.787,355.73,686.50405
108.78765,355.7583,687.017
108.78831,355.7866,688.5597
108.78897,355.8149,690.68289
108.78963,355.8432,691.00602
108.79029,355.8715,691.12797
108.79094,355.8998,690.2398
108.7916,355.9281,691.47041
108.79226,355.9563,693.78349
108.79292,355.9846,694.38271
108.79357,356.0129,696.3332
108.79423,356.0412,694.58977
108.79489,356.0695,694.54869
108.79555,356.0978,694.86465
108.7962,356.1261,695.61833
108.79686,356.1544,697.11586
108.79752,356.1827,696.3309
108.79818,356.211,696.16543
108.79884,356.2393,695.69685
108.79949,356.2675,695.61825
108.80015,356.2958,695.33742
108.80081,356.3241,694.63011
108.80147,356.3524,693.86166
108.80212,356.3807,691.53755
108.80278,356.409,691.65452
108.80344,356.4373,692.30983
108.8041,356.4656,688.61467
108.80475,356.4939,689.2485
108.80541,356.5222,688.72961
108.80607,356.5505,688.34615
108.80673,356.5787,688.52616
108.80739,356.607,688.55107
108.80804,356.6353,688.32397
108.8087,356.6636,685.44941
108.80936,356.6919,685.86127
108.81002,356.7202,685.10159
108.81067,356.7485,687.45006
108.81133,356.7768,685.89238
108.81199,356.8051,688.26367
108.81265,356.8334,686.77921
108.8133,356.8617,688.16907
108.81396,356.8899,688.37552
108.81462,356.9182,684.57439
108.81528,356.9465,686.2655
